0,5.0,"We are happy choosing Pan Pacific Hotel in celebrating our Anniversary.. The Ambience is really nice. The food is very good and don’t forget the staff, they really nice and accommodating especially Sir Jayrick..fast checkin and fast check out.. no hassle.. We definitely recommend it!! ",Pan Pacific Singapore Hotel,4.5
1,5.0,"The staffs were very friendly and helpful. The atmosphere is so special that it really felt like home. The room was awesome and full of facilities which were higher than my expectation. I'll recommend Pan Pacific hotel to every couple and families:). You wont regret it,just be there:)",Pan Pacific Singapore Hotel,4.5
2,5.0,"A truely enjoyable stay. The hotel environment is excellent, the moment we entered the hotel lobby we felt refresh and welcomed. Ambience is excellent. Rooms were big , cozy and clean. Atrium lounge is the beauty of this hotel. A nice place to chill with friends and family. Swimming pool was family friendly. Breakfast at Edge was good.",Pan Pacific Singapore Hotel,4.5
3,5.0,"After a long travel drought, we decided to have a family staycation and went with a stay at Pan Pacific Singapore. We chose a weekday stay to avoid the crowds and were rewarded with quick and efficient service at check-in by the receptionists. The rooms were clean and made the stay comfortable. We also had a delicious dinner buffet at Edge even though the selection was reduced due to Covid measures.",Pan Pacific Singapore Hotel,4.5
4,5.0,"Stay with Pan Pac was superb, better than Marina *** S*nds. Terrific service, shout out to Charles who made everything fantastic! and Nook who made check in so smooth & hassle free :)Breakfast & Dinner at Edge buffet restaurant was good, able to walk around freely despite Covid, safe distancing & crowd control managed well! Will definitely recommend my fam & friends!",Pan Pacific Singapore Hotel,4.5
5,5.0,It was a smooth sailing and good experience overall. Staff are very nice and attentive when I informed them that it was our anniversary. Jayrick from front desk was very helpful and informed us of the necessary. Will definitely come back again and recommend.,Pan Pacific Singapore Hotel,4.5
6,5.0,"Was greeted warmly at the check in reception by Abhi. He is friendly, helpful and welcoming. He answered all our queries and we enjoyed our stay, thanks Abhi!  Breakfast was also good, wide spread and friendly staff over buffet counter",Pan Pacific Singapore Hotel,4.5
7,5.0,Had a pleasant stay at the Harbour King Studio Room. Kudos to Abhi for checking us in promptly and to the rest of the staff there. My friends arranged for Pan Pacific to pass me my birthday card and present and the hotel responded promptly. Room was big and in tip top condition. No complaints at all!,Pan Pacific Singapore Hotel,4.5
8,5.0,It's our Family Vacation and we chose Pan Pacific as the Hotel for our Stayacation because of the 60% super deal! Warmest and friendliest welcome by Pacific Ambassador Charles! Friday is the Best day for Staycay because the Hotel isn't busy! We checked in by 230pm and started to enjoy all the hotel facilities! 38sqm pacific club connecting rooms with king/twin beds is perfect for our family! Room is spacious and clean. Mini bar was included. We proceeded to Pacific Club Lounge for afternoon tea at 3pm! The staff are very thoughtful. They offered us a really cosy corner and specially prepared treats for our girls! Swimming pool wasn't crowded on a Friday afternoon and it is nice that they have these big and colourful floats for us to use! Evening cocktail starts from 6pm to 8pm but we can continue to stay till 10pm. Kids are not allowed as they serve alcohol in the evening. Champagne buffet breakfast tomorrow! We are looking forward to it! We love Pan Pacific!,Pan Pacific Singapore Hotel,4.5
9,4.0,"Up for a classic English Afternoon Tea with your date with perhaps a spot of tea? Fret not! Pan Pacific brings you their revamped experience at the Atrium. However, do note we visited sometime ago.Nonetheless. For SGD 76 (for 2 pax), you’ll get a lovely 3 tiered selection of both sweet and savouries brought together with an explosion of flavours consisting of treats such as Shaved Virginia Ham Sandwich with Truffle Mayonnaise, Strawberry Pistachio Choux, Dark Chocolate Pear Caramel and Coffee Caramel Roulade with a portion of scones served with butter, cream and jam. All in all quite a nice experience and our ideal way to pass an afternoon. Service was lovely with the servers being dears. Pretty attentive and jovial.Price: SGD 76 per pair.Our full review is on Instagram (@monk3yseendo)",Pan Pacific Singapore Hotel,4.5
10,5.0,"We reached the hotel at 3.30pm and attended by Mr Abhi.His service was excellent and try the best to arrange our request as because we booked both nights under different website.Besides, he also explained very well to us very details that we need to know.Not to forget, there was a guy welcome us at the main door I am not sure his name but he was very helpful by offering us bellman to deliver our luggage to our room.Will come to stay again as the room also was clean and spacious too!",Pan Pacific Singapore Hotel,4.5
11,5.0,Room is clean.Shopping within the walking distance.Service staff are professional and accommodative.Breakfast buffet is good and the spread is just right.Gym and swimming pool are not over crowded.,Pan Pacific Singapore Hotel,4.5
12,5.0,Hye there ...Just drop by here to tell that this service man Mr.Kuselan has been a great person on welcoming us from the first day till we check out ... he as been amazing from the first day we reached and till the moment we walk out from this hotel ... Hindu person who is also working on the Indian new year on our Hindu date 14/04/2021 must be a big commitment and overwhelming point ...As we the customer by doing our part we do hope that the management will do they level best in valuing such a employee and bring him up together so that this will be more people like him in future ...I do hope I can get back a review on what is the management have done to value such a employee so that we know by what we doing he minimum can give what kind of priorities by the management for the employees..You can get back to me via ysubramaniam286@gmail.comThanks..,Pan Pacific Singapore Hotel,4.5
13,5.0,"Back to Pan Pacific Singapore after seeing some photos on the newly renovated Pacific Harbour Studio. Trust me, if you're into large spaces and large tubs, this is for you! PPSG is no stranger in my group of friends. No doubt I like spending time here, but every time is always something new or memorable. The studio suite, is even better in person (although I kinda hope the view will be full view instead of 90 degrees view of the Marina Bay only.) If you have stay in PPSG before, you'll recognize the warm hospitality, the comfort in your room and the quality of the amenities. This time no change, but extra friendly services from Jayrick. Kudos to him for all the arrangements. The suite includes a big tub (which take a long time to fill, ensure you fill it in advance to use). Bose surround speakers for your TV in living area, I feel the bed are nicer too in the suite. State of the art toto toilet, bigger shower area. I'd say, all is well done in this category wof rooms at PPSG. All Pacific category comes with club benefits which includes afternoon tea, evening cocktails + canapes, and champagne breakfast. Although the food quality isn't top notch (I'm fussy), the boozes are good! I'll recommend this category of room for anniversary, intimate celebrations. Well done again Pan Pacific Singapore :)",Pan Pacific Singapore Hotel,4.5
14,5.0,"Room was extremely large, with great harbour view. Pool is the best! My kids love it. It would have been good if the upgrade was complimentary given that there were still rooms available. Nonetheless, the upgrade wasn’t as pricey at the hotel compared online. ",Pan Pacific Singapore Hotel,4.5
15,5.0,"One of the best staycations I’ve had. All the staff are friendly and attentive, the place is clean and the food is great. The staff would try their best to accommodate to the requests I made and would always ask if you require any other assistance. I felt so at home during my stay. Would definitely visit again!",Pan Pacific Singapore Hotel,4.5
16,5.0,"Had a very pleasant anniversary stay with pan pacific. It was a seamless experience arranging for the deco before our check in. I was promptly attended by Ayaka when I enquired about arranging deco. We then communicated via whatsapp on the follow ups. I came to the hotel the night before and was pleasantly greeted by Thiagu, I passed him the flowers to safekeep in the fridge.On check in day, I liaised with Ayaka on receiving the balloons and flower petal. She was very proactive in handling my requests. The set up she did for us was impeccable! Ayaka met us during check in and she was so kind and pleasant. We were sitting initially and we she came, we wanted to stand but she insisted that we remain seated. While I was signing the papers, she chatted with us to avoid any awkward silence, that was very thoughtful of her!We checked into the Harbour Studio room - spotless and very clean. The view of the marina bay area is amazing! Also, the deco was nicely done. Very detailed petal arrangement. The shower gel smells great. The pillows were too soft though, we had to ask for multiple pillows to make up for the softness haha. At night, We ordered truffle fries through the app. We received the food after 35mins or so. Not so nice, very faint taste of truffle. We made booking of our breakfast session through the QR code too. It was very convenient for younger people like us. At breakfast Danial brought us to our seats and guide through the ordering method. The breakfast was nice but not as extensive as it used to be. There is a selection of eggs, asian food and pancake/waffles. We were advised to use the express check out. No que, very easy. We approached Concierge TJ and Nassier who was very cheerful and forthcoming to collect carpark coupon. No frill collection and it was a nice way to end to summarize the whole say with their bright smiles TJ's elated tone. Cheers to all who made our stay a very pleasant one!!",Pan Pacific Singapore Hotel,4.5
17,5.0,Booked my stay using the SG Discovery Voucher for a club room and was upgraded as a courtesy due to my Discovery black membership...thank you PanPac! though it was not a qualifying stay :PPacific Club l..the place I missed since the CB started and it was GOOD to be back! Food and service was excellent and a shout out to the Pacific Club lounge staff members who always makes one feel at home and very comfortable. Special shout out to Ms. Shine who as always provides an exceptional level of service on all my stays. Overall ..a very good stay and a very relaxing environment to unwind and with an excellent view of the Marina Harbour. ,Pan Pacific Singapore Hotel,4.5
